id_pedido,id_cliente,status,valor_total,atualizado_em
10058,547,CANCELADO,2321.51,2026-06-07 16:27:00
10046,540,NOVO,1866.83,2026-05-24 06:56:00
10122,521,PAGO,4733.41,2026-06-04 15:49:00
10015,552,pago,1017.33,2026-05-14 20:58:00
10097,524,PAGO,1159.20,2026-07-03 17:11:00
10085,531,NOVO,4331.11,2026-06-22 11:30:00
10071,568,CANCELADO,1038.30,2026-06-29 03:20:00
10090,533,CANCELADO,3087.10,2026-05-08 02:31:00
10044,538,ENTREGUE,2383.75,2026-05-11 11:49:00
10004,517,enviado,4079.16,2026-07-04 17:03:00
10009,541,entregue,3568.86,2026-06-16 10:00:00
10039,540,ENVIADO,1607.65,2026-07-03 20:21:00
10065,548,CANCELADO,4142.03,2026-05-28 06:23:00
10049,539,NOVO,3239.09,2026-06-01 03:37:00
10031,518,NOVO,1178.42,2026-06-16 00:47:00
10026,528,ENVIADO,1402.95,2026-05-18 07:09:00
10148,541,NOVO,716.04,2026-05-31 16:39:00
10084,570,CANCELADO,815.50,2026-06-10 23:37:00
10038,544,ENTREGUE,2243.24,2026-07-01 18:11:00
10052,558,NOVO,330.17,2026-06-24 07:07:00
10113,528,NOVO,4497.23,2026-05-12 05:36:00
10141,539,PAGO,2840.78,2026-05-28 03:09:00
10146,544,NOVO,1339.15,2026-06-11 21:43:00
10103,559,ENTREGUE,1352.16,2026-05-25 06:38:00
10108,502,ENTREGUE,3398.35,2026-06-01 17:07:00
10142,534,PAGO,1251.73,2026-06-16 17:24:00
10048,512, NOVO,2082.54,2026-05-17 13:16:00
10055,519,PAGO,1306.73,2026-06-15 13:46:00
10011,517,PAGO,158.67,2026-06-18 00:55:00
10007,558,NOVO,3135.02,2026-05-30 16:00:00
10002,569,NOVO,1912.59,2026-05-13 00:37:00
10010,558,CANCELADO,3676.05,2026-06-01 12:42:00
10143,519,PAGO,1314.00,2026-06-24 00:25:00
10078,549,ENVIADO,4620.37,2026-06-19 04:45:00
10111,558,NOVO,1210.39,2026-05-20 10:08:00
10022,526,ENVIADO ,1098.82,2026-06-24 22:47:00
10054,527,PAGO,4096.05,2026-06-05 12:03:00
10136,551,ENVIADO,1140.36,2026-06-16 07:30:00
10025,514,ENVIADO,3841.22,2026-06-26 02:20:00
10001,565,NOVO,2058.99,2026-05-18 04:32:00
10149,506,CANCELADO,3649.10,2026-06-25 10:21:00
10083,511,PAGO,1066.49,2026-06-22 18:13:00
10070,530,PAGO,4697.60,2026-07-04 04:50:00
10138,524,PAGO,86.37,2026-06-26 10:00:00
10119,542,PAGO,0.00,2026-07-05 07:06:00
10068,568,PAGO,4653.04,2026-06-17 06:41:00
10079,540,NOVO,516.00,2026-06-17 11:41:00
10127,535,ENVIADO,4688.94,2026-06-09 02:39:00
10086,538,ENTREGUE,1368.63,2026-06-06 22:46:00
10112,505,ENTREGUE,1828.67,2026-05-23 16:16:00
10062,558,ENTREGUE,4365.13,2026-07-06 13:18:00
10082,517,CANCELADO,994.27,2026-06-29 15:42:00
10056,563,CANCELADO,4162.75,2026-06-10 20:23:00
10104,549,CANCELADO,4055.42,2026-05-27 22:37:00
10021,545,NOVO,479.70,2026-06-06 15:33:00
10121,537,ENTREGUE,2464.78,2026-06-01 22:10:00
10034,538,NOVO,4902.89,2026-06-20 02:03:00
10027,570,PAGO,4520.63,2026-07-10 18:20:00
10051,530,PAGO,231.58,2026-05-19 01:53:00
10089,530,PAGO,297.04,2026-05-30 00:25:00
10140,533,PAGO,1548.25,2026-07-14 14:57:00
