id_pedido,id_cliente,status,valor_total,atualizado_em,operacao
10107,546,NOVO,609.47,2026-05-31T23:31:00-03:00,I
10101,511,ENVIADO,4086.09,2026-06-09T20:20:00-03:00,U
10127,535,ENTREGUE,4404.93,2026-06-07T19:39:00-03:00,U
10024,561,PAGO,4785.77,2026-07-09T01:49:00-03:00,U
10075,529,CANCELADO,3896.37,2026-05-29T15:56:00-03:00,U
10057,510,ENVIADO,4939.74,2026-06-22T08:43:00-03:00,U
10051,530,PAGO,231.58,2026-05-18T22:53:00-03:00,U
10135,546,ENVIADO,1407.42,2026-06-29T10:24:00-03:00,U
10048,512,NOVO,2082.54,2026-05-17T10:16:00-03:00,I
10142,534,NOVO,1251.73,2026-06-11T11:24:00-03:00,I
10115,568,ENVIADO,4384.05,2026-05-15T20:56:00-03:00,U
10067,532,PAGO,2245.02,2026-06-20T18:05:00-03:00,U
10067,532,NOVO,2083.78,2026-06-08T08:05:00-03:00,I
10144,542,PAGO,3630.54,2026-06-27T15:16:00-03:00,U
10078,549,PAGO,4620.37,2026-06-13T00:45:00-03:00,U
10109,557,NOVO,4784.21,2026-06-28T02:49:00-03:00,I
10056,563,PAGO,3637.08,2026-06-04T19:23:00-03:00,U
10023,543,ENVIADO,3819.41,2026-05-25T08:30:00-03:00,U
10145,543,ENVIADO,3035.58,2026-05-23T06:17:00-03:00,U
10147,538,NOVO,4234.36,2026-06-05T15:53:00-03:00,I
10081,541,CANCELADO,1569.46,2026-06-14T21:07:00-03:00,U
10053,532,PAGO,1400.56,2026-06-18T15:52:00-03:00,U
10106,567,PAGO,1633.11,2026-06-03T13:06:00-03:00,U
10061,556,PAGO,1660.90,2026-06-30T10:12:00-03:00,U
10064,521,NOVO,1119.56,2026-05-11T04:12:00-03:00,I
10128,519,PAGO,3983.49,2026-06-03T19:57:00-03:00,U
10045,543,NOVO,1700.76,2026-06-23T03:06:00-03:00,I
10121,537,ENTREGUE,2464.78,2026-06-01T19:10:00-03:00,U
10122,521,PAGO,4733.41,2026-06-04T12:49:00-03:00,U
10137,529,NOVO,1849.49,2026-05-17T15:31:00-03:00,I
10026,528,ENVIADO,1402.95,2026-05-20T06:09:00-03:00,D
10033,526,CANCELADO,1675.59,2026-06-06T01:02:00-03:00,U
10097,524,NOVO,1171.14,2026-06-24T19:11:00-03:00,I
10093,547,ENTREGUE,1065.94,2026-07-10T08:53:00-03:00,U
10093,547,PAGO,1065.94,2026-07-05T23:53:00-03:00,U
10004,517,ENVIADO,4079.16,2026-07-04T14:03:00-03:00,U
10010,558,CANCELADO,3676.05,2026-06-03T02:42:00-03:00,D
10138,524,NOVO,88.54,2026-06-17T04:00:00-03:00,I
10074,547,NOVO,1070.35,2026-06-09T09:51:00-03:00,I
10051,530,NOVO,231.58,2026-05-12T01:53:00-03:00,I
10084,570,CANCELADO,761.05,2026-06-15T16:37:00-03:00,U
